"Time","Amount"
0,149.62
0,2.69
1,378.66
1,123.5
2,69.99
2,3.67
4,4.99
7,40.8
7,93.2
9,3.68
10,7.8
10,9.99
10,121.5
11,27.5
12,58.8
12,15.99
12,12.99
13,0.89
14,46.8
15,5
16,231.71
17,34.09
18,2.28
18,22.75
22,0.89
22,26.43
23,41.88
23,16
23,33
23,12.99
24,17.28
25,4.45
26,6.14
26,6.14
26,1.77
26,1.77
27,30.49
27,1.8
29,20.53
29,6.54
32,29.89
32,2.35
33,14.8
33,9.1
34,15.99
34,21.34
34,18.95
34,9.99
35,30.9
35,20.22
35,0.99
36,1402.95
36,7.99
36,2.09
37,0.99
38,21.76
39,120.96
39,13.84
40,13.84
41,2.67
41,169.05
41,96.94
41,34.13
42,32.51
42,243.66
44,21.55
44,59.9
44,0.75
44,45.71
46,35
46,67.97
46,11.45
47,3.63
48,21.66
48,26.72
49,13.18
49,59.99
49,135.51
50,9.79
50,14.8
51,1.98
52,6.67
52,1.46
53,89.17
54,7.53
55,200.01
55,0.76
56,20.22
56,10.84
59,1142.02
59,149.9
60,89.4
60,26.72
62,5.99
64,34.7
64,54.99
64,7.55
67,19.85
67,28.28
68,15.99
68,2.69
68,22.36
69,0.78
69,168.56
69,0.76
69,9.47
70,21.8
71,14.48
73,1
73,1
73,70.6
73,19.77
74,1.18
74,1.18
74,1.18
74,1.18
75,81.13
76,50
76,86.43
77,11.83
77,49.95
77,9.12
78,104.94
78,4.68
78,62.92
78,18.31
79,80
80,32.51
80,39.95
81,68.74
82,79
82,5.9
83,7.69
83,79.91
83,552.18
84,67.3
84,21.97
84,4.99
85,11.99
85,124.67
87,919.6
88,30.9
89,459.39
89,37.13
91,1.98
91,15.89
92,8.95
92,268.78
92,2.99
93,322.44
93,937.69
95,69
95,2.28
95,7.21
95,1.29
97,17.8
98,14.98
98,159
99,142.71
99,84.39
100,182.95
103,23.27
103,9.99
103,4.19
103,3828.04
105,35.97
105,1
106,24.57
107,1
108,148.43
108,25.8
110,110.4
110,13.95
111,9.99
112,937.69
112,54.99
113,31.17
114,23.88
114,4.49
115,137
117,37.89
117,82.29
118,2.69
118,20
121,29.99
123,40
123,160.86
124,8.93
124,6.24
124,230
125,43.71
125,165.55
125,113
127,1.54
128,10
128,8.8
130,5.97
130,15.93
131,10
132,3.87
132,10
133,35.97
135,22.37
135,4.57
135,23.57
136,13.99
137,226.07
138,148.81
139,58
140,1.29
140,65
140,11
140,257.3
140,169
141,9.9
142,9.99
142,4.9
143,39.95
144,15.36
145,9.9
145,6
145,6
145,6.74
145,6.74
147,170.43
147,0.89
150,0.89
152,614.87
153,22.99
153,71.26
154,127.69
154,1.98
155,6.45
155,1.29
156,184.31
156,500
156,10
158,1.79
158,10
160,20
160,700
162,22
164,2.28
164,65.26
164,0.99
167,1
167,44.2
167,5.42
168,42.9
169,355.51
171,0.89
171,71.69
172,2.29
172,1.29
179,27.99
180,23.63
180,48
181,318.5
181,6.47
183,224.97
183,75.83
184,1.98
184,1.98
185,4.65
187,23.32
188,8.09
190,82.29
190,99.95
190,20
190,127.75
190,20.7
192,1.79
193,37.2
194,1
194,32.77
194,5.99
196,0.89
196,63.9
199,6.45
199,61.18
199,9.99
200,196.7
200,79
204,137.3
204,39.94
204,1.98
205,12.99
206,153.91
206,101
206,10.27
209,8.97
209,1.19
209,45
209,95.56
209,13.99
210,12.99
211,526.96
211,70
213,4.38
215,12.99
217,24
218,1
218,17.56
218,12.99
220,18.96
220,22.58
221,99.82
221,25.36
222,7.81
222,18.61
222,49.99
222,17.24
225,34
225,35.11
227,1
227,29.95
228,45.3
230,79.18
231,26.98
231,1.98
234,42.81
235,25
236,0.99
236,7.14
237,9.99
237,32.51
238,8.99
239,10
241,10.62
241,4.81
241,12.2
241,12.31
242,2.69
244,100.37
246,1.5
246,1.98
246,2.98
247,18.94
248,10
249,13.28
250,5.96
251,31.8
251,120
251,24
252,231.71
256,13.53
256,18.45
257,1.98
258,13.79
259,20.17
259,9.99
259,55.45
259,0.99
260,26.5
260,99
260,5.46
261,1.98
263,49.99
265,24.84
265,13.08
265,9.03
265,1
266,10.35
266,14.9
266,154.4
267,122.36
267,2.28
268,6.54
269,2.6
269,6.47
270,52.95
271,0.89
271,5.99
272,208.38
273,32.51
273,6.51
273,18
274,1.98
275,70.33
278,2.69
279,19.29
279,8.99
280,109.15
282,0
282,27
282,2
282,11.64
283,94.5
283,2.31
284,7.89
284,1
284,11.99
284,302.1
284,30.3
285,8.99
287,160
288,380.95
288,156.98
288,6.54
289,74.47
290,30.5
290,85
290,67.36
290,101
292,4.45
292,23.88
293,5
294,73
294,33.33
297,6.86
297,54.75
297,6.2
297,12.31
298,13.99
298,36
300,1.91
302,90
302,9.99
303,2.95
303,90
304,1.98
305,379.63
307,52.9
307,9.97
308,60
309,1
309,14.6
310,7.8
310,22.09
310,222.5
311,11.5
311,8.58
312,140.6
312,493.44
312,33.26
313,15.08
313,68
315,11.46
315,69.99
317,19.99
317,7.69
318,10
322,1.79
322,9.99
322,29.56
323,0.77
323,52
324,0.89
325,17.24
327,36.71
328,2.5
330,55.76
330,32.38
331,0.89
332,11.34
333,75
333,216
335,1.03
335,4.8
336,7.72
339,2
339,98
340,47
340,0.99
341,22
341,62.63
342,197.63
343,75.83
344,456.71
346,6
346,5
346,10.99
347,204.03
348,3.99
351,12.99
352,13.99
352,2.67
353,12.87
353,611.76
354,2.31
354,11.38
354,23.88
355,2.61
355,19.64
356,20.48
356,105.87
356,15
357,0.75
358,17.43
358,41.64
359,1.29
360,0.89
362,79
363,37.92
365,74.22
365,0.68
366,9.99
366,97.47
367,1.29
368,1.98
368,1.98
369,1
369,32.63
